"","Control 1 (SRR5074528)","Control 2 (SRR5074529)"," Organophosphate 1 (SRR5074530)","Organophosphate 2 (SRR5074531)","Taxonomy"
"53335",0,0,1,0,"Pantoea"
"53345",0,0,0,1,"Enterococcus durans"
"53346",0,0,1,1,"Enterococcus mundtii"
"53408",0,0,0,1,"Pseudomonas citronellolis"
"53433",0,1,1,0,"Halanaerobiales"
"53442",1,1,1,0,"Eubacterium callanderi"
"53444",0,0,1,0,"Lactobacillus lindneri"
"53457",1,0,0,0,"Janibacter"
"53458",1,0,0,0,"Janibacter limosus"
"54006",1,0,1,1,"Peptoniphilus ivorii"
"54262",1,0,0,0,"Thermococcus chitonophagus"
"54571",0,1,1,0,"Streptomyces venezuelae"
"55080",0,1,0,1,"Brevibacillus"
"55213",1,0,0,0,"Brenneria rubrifaciens"
"55518",0,0,1,0,"Magnetospirillum gryphiswaldense"
"55744",0,0,1,0,"Equid alphaherpesvirus 9"
"55968",1,0,0,0,"Leucobacter"
"56107",1,0,0,0,"Cylindrospermum stagnale PCC 7417"
"56112",1,0,1,1,"Dehalobacter"
"56780",0,0,1,1,"Syntrophus aciditrophicus SB"
"56947",1,0,1,1,"Choristoneura fumiferana granulovirus"
"56956",1,0,1,0,"Thermus brockianus"
"57320",1,0,1,0,"Pseudodesulfovibrio profundus"
"57493",1,0,1,1,"Kocuria"
"57665",0,0,1,0,"Sulfurospirillum"
"57704",0,0,1,0,"Tsukamurella tyrosinosolvens"
"58101",0,0,1,0,"Salmonella enterica subsp. enterica serovar Waycross"
"58340",0,0,1,0,"Streptomyces lavendulae subsp. lavendulae"
"58346",0,1,1,0,"Streptomyces platensis"
"59201",1,0,1,0,"Salmonella enterica subsp. enterica"
"59202",0,0,1,0,"Salmonella enterica subsp. salamae"
"59203",0,0,1,0,"Salmonella enterica subsp. arizonae"
"59732",1,1,1,0,"Chryseobacterium"
"59748",0,0,1,0,"Candidatus Phytoplasma australiense"
"59843",1,0,1,0,"Paenibacillus glucanolyticus"
"59919",0,0,0,1,"Prochlorococcus marinus subsp. pastoris str. CCMP1986"
"60481",0,1,0,0,"Shewanella sp. MR-7"
"60552",0,0,1,0,"Burkholderia vietnamiensis"
"61434",1,0,1,0,"Dehalococcoides"
"61435",1,0,0,0,"Dehalococcoides mccartyi"
"61624",1,1,1,0,"Paenibacillus mucilaginosus"
"61635",0,1,0,0,"Acholeplasma brassicae"
"61645",0,0,1,0,"Enterobacter asburiae"
"61647",0,0,1,0,"Pluralibacter gergoviae"
"63186",1,0,0,0,"Zobellia galactanivorans"
"64104",0,0,0,1,"Bacillus pseudomycoides"
"65058",0,0,1,0,"Corynebacterium ulcerans"
"66969",0,0,1,0,"Legionella waltersii"
"67267",1,0,1,0,"Streptomyces alboflavus"
"67824",1,1,1,0,"Citrobacter farmeri"
"68175",0,0,1,0,"Streptomyces antimycoticus"
"68223",0,1,0,0,"Streptomyces katrae"
"68270",0,0,1,0,"Streptomyces spectabilis"
"68288",0,1,1,0,"Cyclobacterium"
"68336",0,1,1,0,"Bacteroidetes/Chlorobi group"
"68570",0,0,1,0,"Streptomyces albulus"
"68895",1,0,0,0,"Cupriavidus basilensis"
"69218",0,0,1,0,"Enterobacter cancerogenus"
"69220",0,0,1,0,"Lelliottia nimipressuralis"
"69223",1,0,0,0,"Dickeya paradisiaca"
"69277",1,0,1,0,"Phyllobacteriaceae"
"69541",0,0,1,0,"Desulfuromonadales"
"69666",0,0,0,1,"Caulobacter mirabilis"
"69964",0,0,1,1,"Azotobacter salinestris"
"70799",1,0,0,0,"Nodularia spumigena"
"71997",0,0,1,0,"Thermococcus gorgonarius"
"71999",1,0,1,1,"Kocuria palustris"
"72274",0,0,1,0,"Pseudomonadales"
"72275",1,0,1,0,"Alteromonadaceae"
"72361",0,0,0,1,"Bacillus vallismortis"
"72763",0,1,0,0,"Tessaracoccus"
"73044",0,0,1,0,"Streptomyces seoulensis"
"74030",1,0,1,0,"Roseovarius"
"74201",1,0,0,0,"Verrucomicrobia"
"74426",1,1,1,0,"Collinsella aerofaciens"
"75105",0,0,1,1,"Paraburkholderia caribensis"
"75385",1,0,1,0,"Micropruina glycogenica"
"75682",1,0,1,1,"Oxalobacteraceae"
"75985",1,0,0,0,"Mannheimia haemolytica"
"76123",1,0,1,1,"Prevotella enoeca"
"76258",0,0,1,0,"Vibrio rumoiensis"
"76335",0,0,1,0,"Nostoc sp. ATCC 53789"
"76731",1,1,1,0,"Roseateles depolymerans"
"76758",0,0,1,0,"Pseudomonas orientalis"
"76759",1,0,0,0,"Pseudomonas monteilii"
"76856",0,0,0,1,"Fusobacterium nucleatum subsp. nucleatum"
"76892",1,0,0,0,"Caulobacteraceae"
"76947",0,0,0,1,"Sphingobium herbicidovorans"
"78344",0,0,1,0,"Bifidobacterium gallinarum"
"79206",0,0,0,1,"Desulfosporosinus"
"79263",1,0,1,1,"Paenibacillus chitinolyticus"
"79328",0,1,1,0,"Chitinophaga"
"79329",1,0,1,1,"Chitinophaga pinensis"
"79604",1,1,1,0,"Denitrobacterium detoxificans"
"79880",1,0,1,0,"Bacillus clausii"
"80811",1,0,0,0,"Cystobacterineae"
"80812",1,1,1,0,"Sorangiineae"
"80849",0,1,1,1,"Wolbachia endosymbiont of Brugia malayi"
"80865",1,0,0,0,"Delftia"
"80868",0,0,1,0,"Acidovorax cattleyae"
"80869",0,0,1,0,"Acidovorax citrulli"
"81460",1,1,0,1,"Mesoplasma lactucae ATCC 49193"
"81682",0,1,1,0,"Methylovorus"
"81852",1,1,1,0,"Enterococcaceae"
"82115",0,0,1,0,"Rhizobiaceae"
"82633",0,0,1,0,"Cupriavidus pauculus"
"82654",0,0,1,0,"Pseudanabaena sp. PCC 7367"
"82688",1,0,0,0,"Lactobacillus nagelii"
"82983",0,0,1,0,"Obesumbacterium proteus"
"82984",0,0,0,1,"Pragia"
"82985",0,0,1,0,"Pragia fontium"
"83263",0,0,1,0,"Aminobacter aminovorans"
"83406",0,1,0,1,"gamma proteobacterium HdN1"
"83564",0,1,1,0,"Desulfosarcina ovata"
"83655",0,0,1,0,"Leclercia adecarboxylata"
"83683",1,0,1,0,"Lactobacillus amylolyticus"
"83684",1,1,1,0,"Lactobacillus delbrueckii subsp. delbrueckii"
"83889",0,0,1,0,"unclassified Marinobacter"
"84107",1,0,0,0,"Coriobacteriaceae"
"84406",1,1,0,0,"Virgibacillus"
"84642",1,1,1,0,"Aeromonadaceae"
"84999",0,0,1,0,"Coriobacteriales"
"85007",0,0,1,0,"Corynebacteriales"
"85012",1,0,0,0,"Streptosporangiales"
"85015",1,0,0,1,"Nocardioidaceae"
"85020",1,0,1,0,"Dermabacteraceae"
"85021",1,0,1,0,"Intrasporangiaceae"
"85023",1,0,1,1,"Microbacteriaceae"
"85030",1,0,0,0,"Geodermatophilaceae"
"85620",0,1,0,0,"Candidatus Phytoplasma asteris"
"85698",1,0,1,1,"Achromobacter xylosoxidans"
"86106",1,1,0,1,"endosymbiont of Acanthamoeba sp. UWC8"
"86664",1,1,1,0,"Bacillus flexus"
"86665",0,0,1,0,"Bacillus halodurans"
"87541",1,0,1,0,"Aerococcus christensenii"
"87882",0,0,1,0,"Burkholderia cepacia complex"
"87883",1,0,0,0,"Burkholderia multivorans"
"88719",0,0,1,0,"Neisseria elongata subsp. glycolytica"
"89059",0,1,0,0,"Lactobacillus acidipiscis"
"89373",0,0,0,1,"Cytophagaceae"
"90105",0,0,1,0,"Salmonella enterica subsp. enterica serovar Saintpaul"
"90964",1,0,0,0,"Staphylococcaceae"
"91604",1,0,0,1,"Candidatus Paracaedibacter acanthamoebae"
"92944",0,0,1,0,"Ketogulonicigenium"
"92945",0,0,0,1,"Ketogulonicigenium vulgare"
"93222",1,0,1,0,"Pandoraea sputorum"
"93378",1,0,0,0,"Edwardsiella hoshinae"
"94122",0,0,1,0,"Shewanella sp. ANA-3"
"95641",0,0,1,0,"Methylomicrobium buryatense"
"96344",0,1,0,0,"Cupriavidus oxalaticus"
"96561",0,0,1,0,"Desulfococcus oleovorans Hxd3"
"96773",1,0,0,0,"Thauera chlorobenzoica"
"97084",1,0,0,0,"Halobacteriovorax marinus"
"98228",1,0,1,0,"Bacillus sp. OxB-1"
"98795",1,0,0,0,"Buchnera aphidicola (Myzus persicae)"
"100225",0,0,1,0,"Austwickia chelonae"
"102115",1,0,0,0,"Stanieria"
"103733",0,0,1,0,"Saccharothrix syringae"
"104087",0,0,1,0,"Pseudomonas frederiksbergensis"
"104268",0,0,0,1,"Tenacibaculum mesophilum"
"104336",0,0,1,0,"Microbacterium foliorum"
"104628",0,1,1,0,"Helicobacter suis"
"104955",1,0,1,1,"Lactobacillus frumenti"
"106370",0,0,1,0,"Frankia casuarinae"
"106589",0,0,1,0,"Cupriavidus"
"106648",0,0,0,1,"Acinetobacter bereziniae"
"106649",0,1,0,0,"Acinetobacter guillouiae"
"106654",0,0,1,0,"Acinetobacter nosocomialis"
"107637",0,0,1,0,"Methylomonas sp. LW13"
"108981",1,0,0,0,"Acinetobacter schindleri"
"109328",1,0,1,1,"Leptotrichia trevisanii"
"110319",1,0,1,1,"Nocardioides sp. CF8"
"111015",0,0,1,0,"Actinomyces radicidentis"
"111527",0,0,1,0,"pseudomallei group"
"111781",0,0,1,0,"Leptolyngbya sp. PCC 7376"
"112234",0,0,1,0,"Chryseobacterium joostei"
"113107",0,1,1,0,"Streptococcus australis"
"113562",0,0,1,0,"Actinoplanes derwentensis"
"113653",0,0,1,0,"Geoglobus ahangari"
"114885",0,1,0,0,"Mycoplasma maculosum"
"116188",0,0,1,0,"Streptomyces coeruleorubidus"
"118163",1,1,1,0,"Pleurocapsa sp. PCC 7327"
"118562",0,0,1,0,"Arthrospira platensis"
"118883",1,0,0,0,"Sulfolobaceae"
"119045",1,0,0,1,"Methylobacteriaceae"
"119060",1,0,1,1,"Burkholderiaceae"
"119219",0,0,1,1,"Cupriavidus metallidurans"
"119858",1,0,0,1,"Bacillus sonorensis"
"119981",1,1,0,0,"Propionibacterium australiense"
"120045",1,0,1,0,"Zymomonas mobilis subsp. mobilis"
"121292",0,0,1,0,"Pseudarthrobacter sulfonivorans"
"121719",1,0,0,0,"Pannonibacter phragmitetus"
"122277",0,0,1,0,"Pectobacterium"
"123214",1,0,1,0,"Persephonella marina EX-H1"
"125216",1,0,1,0,"Roseomonas"
"126385",1,1,1,0,"Providencia alcalifaciens"
"128574",1,0,1,0,"Paenibacillus brasilensis"
"128944",1,1,1,0,"Aerococcus urinaehominis"
"129337",0,0,1,0,"Geobacillus"
"129338",0,0,1,0,"Geobacillus subterraneus"
"129921",0,0,1,0,"Amycolatopsis keratiniphila"
"129985",1,0,0,0,"Bacillus jeotgali"
"131112",1,0,0,0,"Arcanobacterium phocae"
"133925",1,0,1,1,"Olsenella"
"134534",0,0,1,0,"Acinetobacter gyllenbergii"
"134536",0,0,1,0,"Paraburkholderia caledonica"
"135487",0,0,1,0,"Nocardia cyriacigeorgica"
"135577",1,1,1,0,"Idiomarina loihiensis"
"135613",0,0,1,0,"Chromatiales"
"135616",0,0,1,0,"Piscirickettsiaceae"
"135621",1,0,1,0,"Pseudomonadaceae"
"135622",0,1,1,0,"Alteromonadales"
"135719",0,0,1,0,"Sphingobium amiense"
"135727",1,0,1,0,"Candidatus Phytoplasma ziziphi"
"136849",0,0,1,0,"Pseudomonas syringae group"
"137591",0,0,0,1,"Weissella cibaria"
"138563",0,0,1,1,"Helicobacter cetorum"
"141679",1,0,0,0,"Photorhabdus laumondii subsp. laumondii"
"145259",0,0,1,0,"Leptospira biflexa serovar Patoc"
"146827",0,0,1,0,"Corynebacterium simulans"
"146891",0,0,1,0,"Prochlorococcus marinus str. AS9601"
"148814",0,0,1,1,"Lactobacillus kunkeei"
"150247",0,0,1,0,"Anoxybacillus"
"152268",0,0,1,0,"Bacillus litoralis"
"152297",0,0,1,0,"Pseudoalteromonas issachenkonii"
"152331",1,0,1,0,"Lactobacillus parabuchneri"
"153135",0,1,0,0,"Gammaretrovirus"
"153496",1,0,0,0,"Kozakia baliensis"
"155085",0,0,1,1,"Staphylococcus lutrae"
"155866",0,1,1,0,"Weissella soli"
"155892",0,0,1,0,"Caulobacter vibrioides"
"156976",0,0,1,0,"Corynebacterium riegelii"
"156978",1,0,0,0,"Corynebacterium imitans"
"157687",1,1,1,0,"Leptotrichia wadei"
"157688",0,0,1,0,"Leptotrichia hofstadii"
"157691",0,1,1,0,"Leptotrichia shahii"
"157692",0,0,1,0,"Leptotrichia goodfellowii"
"157783",0,0,1,0,"Pseudomonas cremoricolorata"
"158189",1,1,0,0,"Sphaerochaeta globosa str. Buddy"
"158190",1,0,1,1,"Sphaerochaeta pleomorpha str. Grapes"
"158841",0,0,1,0,"Leminorella richardii"
"159087",0,0,1,0,"Dechloromonas aromatica RCB"
"160660",0,0,1,1,"Acidihalobacter prosperus"
"160674",1,0,1,1,"Raoultella"
"160798",0,1,1,1,"Marinitoga"
"160799",0,0,1,0,"Paenibacillus borealis"
"161492",0,0,1,0,"Anaeromyxobacter"
"161895",1,0,1,0,"Corynebacterium phocae"
"161899",1,0,0,0,"Corynebacterium singulare"
"162209",1,0,1,0,"Paenibacillus naphthalenovorans"
"162426",0,0,1,0,"Microbacterium hominis"
"162496",0,0,1,0,"Glutamicibacter creatinolyticus"
"164393",1,0,0,0,"Lactobacillus fuchuensis"
"164546",1,0,1,0,"Cupriavidus taiwanensis"
"165096",0,0,1,0,"Weissella koreensis"
"165695",1,0,1,0,"Sphingobium"
"165696",1,0,0,0,"Novosphingobium"
"165697",0,0,0,1,"Sphingopyxis"
"165779",1,0,1,0,"Anaerococcus"
"167468",1,0,0,0,"Bradyrhizobium sp. ORS 3257"
"167879",0,0,1,0,"Colwellia psychrerythraea 34H"
"168471",0,0,1,0,"Laribacter hongkongensis"
"169427",0,0,1,0,"Paraburkholderia terricola"
"169430",0,0,1,0,"Paraburkholderia hospita"
"169679",0,0,1,0,"Clostridium saccharobutylicum"
"169760",0,0,1,0,"Paenibacillus stellifer"
"170573",1,0,0,0,"Staphylococcus pettenkoferi"
"170679",0,0,1,0,"Vibrio chagasii"
"171551",1,0,0,0,"Porphyromonadaceae"
"171552",1,1,1,0,"Prevotellaceae"
"171865",0,1,1,0,"Sulfuriferula plumbiphila"
"172042",0,0,1,0,"Rothia aeria"
"172713",1,0,1,0,"Paenibacillus kribbensis"
"174633",0,1,1,0,"Candidatus Kuenenia stuttgartiensis"
"176280",1,0,0,0,"Staphylococcus epidermidis ATCC 12228"
"177437",1,1,1,0,"Desulfobacterium autotrophicum HRM2"
"177439",1,0,1,1,"Desulfotalea psychrophila LSv54"
"178339",1,0,1,1,"Actinomyces hongkongensis"
"179636",0,0,1,0,"Alicycliphilus denitrificans"
"180282",0,0,1,0,"Delftia tsuruhatensis"
"182217",1,0,1,0,"Helicobacter cetorum MIT 00-7128"
"182710",0,0,1,0,"Oceanobacillus iheyensis"
"183417",0,0,1,0,"Proteus hauseri"
"183963",0,0,1,0,"Halobacteria"
"184250",0,0,1,0,"Streptococcus constellatus subsp. pharyngis"
"184914",0,0,1,1,"Corallococcus coralloides"
"185978",1,1,1,0,"unclassified Paenibacillus"
"186490",0,0,1,0,"Candidatus Baumannia cicadellinicola"
"186804",1,1,1,0,"Peptostreptococcaceae"
"186814",1,1,1,0,"Thermoanaerobacteraceae"
"186818",1,0,0,0,"Planococcaceae"
"186824",0,0,1,0,"Thermoactinomycetaceae"
"186828",0,0,1,0,"Carnobacteriaceae"
"187272",0,0,1,0,"Alkalilimnicola ehrlichii MLHE-1"
"187303",0,0,1,0,"Methylocystis sp. SC2"
"187327",1,0,1,0,"Acidaminococcus intestini"
"187491",0,0,1,0,"Corynebacterium glaucum"
"187880",0,0,1,0,"Thermococcus radiotolerans"
"188708",0,1,0,0,"Thermotogae"
"188709",0,0,1,0,"Thermotogaceae"
"188770",0,0,1,0,"Streptomyces koyangensis"
"188786",0,0,1,0,"Thermaceae"
"188787",1,0,0,1,"Deinococci"
"189381",0,0,1,0,"Bacillus marisflavi"
"189425",1,0,1,1,"Paenibacillus graminis"
"189426",1,0,1,0,"Paenibacillus odorifer"
"190323",0,0,1,0,"Plantibacter"
"190721",0,0,1,0,"Ralstonia insidiosa"
"191291",0,1,0,0,"Nautilia"
"191394",0,1,1,1,"Deferribacteraceae"
"191412",0,0,1,0,"Chlorobiaceae"
"191610",0,0,1,0,"Corynebacterium atypicum"
"192421",0,0,1,1,"Planococcus maritimus"
"194439",0,0,1,0,"Chlorobaculum tepidum TLS"
"194924",0,1,1,1,"Desulfovibrionaceae"
"195102",0,1,1,0,"Clostridium perfringens str. 13"
"195105",1,0,1,0,"Haematobacter massiliensis"
"195250",0,1,0,0,"Synechococcus sp. PCC 7336"
"195253",0,0,0,1,"Synechococcus sp. PCC 6312"
"196024",0,0,1,0,"Aeromonas dhakensis"
"196162",0,0,1,0,"Nocardioides sp. JS614"
"196858",1,1,1,0,"unclassified Polaribacter"
"197482",1,0,0,0,"Arcobacter halophilus"
"198110",0,0,1,0,"Pseudomonas phage 201phi2-1"
"198467",0,0,1,0,"Anoxybacillus gonensis"
"198620",0,0,1,0,"Pseudomonas koreensis"
"199441",1,0,1,0,"Bacillus krulwichiae"
"200450",1,0,1,0,"Pseudomonas trivialis"
"200795",0,1,0,1,"Chloroflexi"
"202746",0,0,1,0,"Sulfurimonas"
"202907",0,0,1,0,"Collimonas"
"202954",0,0,1,0,"Acinetobacter tandoii"
"203122",0,0,1,0,"Saccharophagus degradans 2-40"
"203124",1,1,0,0,"Trichodesmium erythraeum IMS101"
"203135",0,0,1,0,"Halomicrobium"
"203682",1,1,0,1,"Planctomycetes"
"203683",0,0,1,0,"Planctomycetia"
"204037",0,0,1,0,"Dickeya"
"204038",0,0,0,1,"Dickeya dadantii"
"204039",0,0,1,0,"Dickeya dianthicola"
"204042",0,0,1,0,"Dickeya zeae"
"204434",0,0,1,0,"Acidobacteriaceae"
"204441",1,0,1,0,"Rhodospirillales"
"204457",0,1,1,1,"Sphingomonadales"
"204536",0,0,1,0,"Sulfurihydrogenibium azorense Az-Fu1"
"206351",0,0,1,0,"Neisseriales"
"206403",1,0,0,0,"Sulfurovum lithotrophicum"
"206506",0,0,1,0,"Kerstersia gyiorum"
"207244",0,1,1,1,"Anaerostipes"
"208962",0,0,1,0,"Escherichia albertii"
"209053",0,0,1,0,"Capnocytophaga sp. ChDC OS43"
"213119",0,0,1,1,"Desulfobacteraceae"
"213121",0,0,0,1,"Desulfobulbaceae"
"215578",0,0,1,1,"Entomoplasma somnilux"
"216142",0,0,1,0,"Pseudomonas rhizosphaerae"
"216595",1,0,0,0,"Pseudomonas fluorescens SBW25"
"216778",0,0,1,0,"Stenotrophomonas rhizophila"
"216816",0,0,1,0,"Bifidobacterium longum"
"217204",1,0,0,0,"Achromobacter insolitus"
"218208",1,0,1,1,"Desulfatibacillum aliphaticivorans"
"219334",0,0,1,0,"Lactobacillus casei subsp. casei ATCC 393"
"219745",1,0,0,0,"Mesoplasma tabanidae"
"220622",0,1,0,0,"Sulfurospirillum sp. JPD-1"
"221027",0,0,1,0,"Treponema putidum"
"221065",0,0,0,1,"Kordia"
"224324",1,0,0,0,"Aquifex aeolicus VF5"
"224471",1,0,0,0,"Burkholderiales Genera incertae sedis"
"225143",0,0,1,0,"Oceanisphaera"
"225991",1,0,1,0,"Comamonas aquatica"
"225992",0,0,0,1,"Comamonas kerstersii"
"226186",0,0,1,0,"Bacteroides thetaiotaomicron VPI-5482"
"227290",0,0,1,0,"Rhizobium/Agrobacterium group"
"227292",1,0,0,0,"Sinorhizobium/Ensifer group"
"227388",0,0,1,0,"Thermodesulfobium"
"227605",1,0,0,0,"Methylocella tundrae"
"227942",1,0,0,1,"Lactobacillus gastricus"
"228405",0,0,1,0,"Hyphomonas neptunium ATCC 15444"
"228899",1,0,0,0,"Bacillus asahii"
"231049",0,1,1,0,"Lactobacillus rossiae"
"232348",1,0,0,0,"Synechococcus sp. CB0101"
"234267",0,1,1,0,"Candidatus Solibacter usitatus Ellin6076"
"237258",1,0,1,0,"Cloacibacterium normanense"
"237609",0,0,1,0,"Pseudomonas alkylphenolica"
"237610",0,0,1,0,"Pseudomonas psychrotolerans"
"239934",1,0,0,0,"Akkermansia"
"239935",1,0,1,1,"Akkermansia muciniphila"
"240015",1,0,0,0,"Acidobacterium capsulatum ATCC 51196"
"240016",0,0,1,0,"Verrucomicrobium spinosum DSM 4136 = JCM 18804"
"240427",0,0,1,0,"Lactobacillus paracollinoides"
"241244",0,1,1,1,"Rummeliibacillus stabekisii"
"241368",1,1,1,0,"Desulfovibrio ferrophilus"
"244366",0,0,1,0,"Klebsiella variicola"
"245188",0,1,0,0,"Yoonia vestfoldensis"
"246200",1,0,0,0,"Ruegeria pomeroyi DSS-3"
"246570",1,0,0,0,"unclassified Paracoccus"
"247481",1,1,1,0,"Candidatus Cardinium hertigii"
"248903",0,0,1,0,"Paenibacillus xylanilyticus"
"249188",0,0,1,0,"Haemophilus pittmaniae"
"251229",1,0,1,0,"Chroococcidiopsis thermalis PCC 7203"
"252967",0,0,1,0,"Spirochaeta perfilievii"
"253237",0,0,1,0,"Pseudomonas sp. phDV1"
"253703",1,0,1,0,"Paenibacillus antarcticus"
"254247",1,0,1,0,"Aquicella siphonis"
"255247",1,0,0,0,"Fictibacillus arsenicus"
"255507",1,0,0,0,"Arcobacter cibarius"
"256839",0,1,0,0,"Shewanella decolorationis"
"257487",0,0,1,0,"unclassified Carnobacterium"
"257708",0,0,1,0,"Roseomonas gilardii"
"260364",0,0,0,1,"Shewanella marisflavi"
"260554",1,0,1,0,"Bacillus halotolerans"
"260714",0,0,1,0,"Campylobacter insulaenigrae"
"261292",1,0,0,0,"Nitrosomonas sp. Is79A3"
"261317",0,1,0,0,"Buchnera aphidicola (Cinara tujafilina)"
"261963",0,1,0,0,"Kangiella"
"262209",1,0,1,1,"Janibacter melonis"
"264198",0,0,1,0,"Cupriavidus pinatubonensis JMP134"
"264636",1,0,0,0,"Acholeplasma hippikon"
"265570",1,0,1,1,"Sulfurovum"
"265976",1,0,0,0,"Serinicoccus"
"266748",0,0,1,0,"Chryseobacterium antarcticum"
"266749",1,0,1,0,"Chryseobacterium jeonii"
"266940",0,0,1,0,"Kineococcus radiotolerans SRS30216 = ATCC BAA-149"
"266951",0,0,1,0,"Erythrobacter seohaensis"
"267128",0,0,1,0,"Sphingopyxis granuli"
"267363",1,0,1,0,"Lactobacillus zymae"
"267748",1,0,0,0,"Mycoplasma mobile 163K"
"269660",0,0,1,0,"Methylobacterium brachiatum"
"269673",0,0,1,0,"Sporolactobacillus terrae"
"269799",0,0,1,0,"Geobacter metallireducens GS-15"
"269800",1,1,0,0,"Thermobifida fusca YX"
"271420",0,0,1,0,"Pseudomonas xanthomarina"
"271865",0,0,1,0,"Ochrobactrum quorumnocens"
"272123",1,0,0,0,"Anabaena cylindrica PCC 7122"
"272558",1,0,0,0,"Bacillus halodurans C-125"
"272568",0,0,1,0,"Gluconacetobacter diazotrophicus PA1 5"
"272569",0,0,1,0,"Haloarcula marismortui ATCC 43049"
"272633",1,0,0,1,"Mycoplasma penetrans HF-2"
"272942",0,0,1,1,"Rhodobacter capsulatus SB 1003"
"273116",1,0,0,0,"Thermoplasma volcanium GSS1"
"273135",0,0,0,1,"Candidatus Cardinium"
"273677",0,0,0,1,"Microbacterium oleivorans"
"274537",0,0,1,0,"Chlorobaculum limnaeum"
"279058",0,0,1,0,"Collimonas arenae"
"279113",1,0,0,0,"Collimonas pratensis"
"281093",0,0,0,1,"Prosthecochloris sp. GSB1"
"281310",1,0,1,1,"Haemophilus influenzae 86-028NP"
"288004",0,0,1,0,"Beggiatoa leptomitoformis"
"289376",1,1,0,0,"Thermodesulfovibrio yellowstonii DSM 11347"
"289377",0,1,1,0,"Thermodesulfobacterium commune DSM 2178"
"290315",0,0,1,1,"Chlorobium limicola DSM 245"
"290317",0,0,1,0,"Chlorobium phaeobacteroides DSM 266"
"290335",0,0,1,0,"Tetragenococcus koreensis"
"290339",0,0,1,0,"Cronobacter sakazakii ATCC BAA-894"
"290399",0,0,1,0,"Arthrobacter sp. FB24"
"290633",1,0,0,1,"Gluconobacter oxydans 621H"
"292414",1,0,0,0,"Ruegeria sp. TM1040"
"292415",0,0,1,0,"Thiobacillus denitrificans ATCC 25259"
"292564",0,0,1,0,"Cyanobium gracile PCC 6307"
"292628",1,0,0,0,"Anaerolineaceae"
"292691",0,1,0,1,"Gramella"
"292913",0,0,1,0,"Sphingopyxis sp. 113P3"
"293826",1,0,1,0,"Alkaliphilus metalliredigens QYMF"
"295405",0,0,0,1,"Bacteroides fragilis YCH46"
"296842",0,0,1,0,"Desulfovibrio carbinolicus"
"298386",1,0,0,1,"Photobacterium profundum SS9"
"298657",0,0,1,0,"Pseudoalteromonas spongiae"
"299146",1,0,1,0,"Micromonospora narathiwatensis"
"299262",0,0,1,0,"Tateyamaria omphalii"
"303541",1,0,0,0,"Lactobacillus apis"
"304207",1,0,1,1,"Lactobacillus harbinensis"
"304378",0,0,1,0,"Sphingomonas sp. IC081"
"308865",1,1,1,0,"Elizabethkingia"
"309798",1,0,1,1,"Coprothermobacter proteolyticus DSM 5265"
"309801",0,1,0,0,"Thermomicrobium roseum DSM 5159"
"311180",0,0,1,0,"Yangia pacifica"
"311403",1,0,1,0,"Agrobacterium radiobacter K84"
"314275",0,0,1,0,"Alteromonas mediterranea"
"314285",0,0,1,0,"Congregibacter litoralis KT71"
"314722",0,0,1,0,"Pseudoxanthomonas suwonensis"
"315730",0,0,1,0,"Bacillus mycoides KBAB4"
"316055",0,0,1,0,"Rhodopseudomonas palustris BisA53"
"316056",1,0,0,1,"Rhodopseudomonas palustris BisB18"
"316067",1,0,1,0,"Geobacter daltonii FRC-32"
"316276",1,0,0,0,"Thermochromatium tepidum ATCC 43061"
"316278",0,0,1,0,"Synechococcus sp. RCC307"
"316279",1,0,0,0,"Synechococcus sp. CC9902"
"317577",1,0,1,0,"Deinococcus ficus"
"317655",0,0,0,1,"Sphingopyxis alaskensis RB2256"
"317936",1,0,0,0,"Nostoc sp. PCC 7107"
"318167",0,0,1,0,"Shewanella frigidimarina NCIMB 400"
"318683",0,0,1,0,"Gluconobacter albidus"
"319795",1,1,1,0,"Deinococcus geothermalis DSM 11300"
"321327",1,0,0,0,"Synechococcus sp. JA-3-3Ab"
"321332",1,0,0,0,"Synechococcus sp. JA-2-3Ba(2-13)"
"321846",1,0,0,1,"Pseudomonas simiae"
"321984",1,1,1,0,"Massilia plicata"
"321985",1,0,1,0,"Massilia lutea"
"322159",1,0,0,0,"Streptococcus thermophilus LMD-9"
"323097",0,0,1,0,"Nitrobacter hamburgensis X14"
"323098",0,0,1,0,"Nitrobacter winogradskyi Nb-255"
"323259",0,0,1,0,"Methanospirillum hungatei JF-1"
"323449",0,0,1,0,"Pontibacter"
"323450",0,0,1,1,"Pontibacter actiniarum"
"324057",0,0,1,0,"Paenibacillus sp. JDR-2"
"324925",0,1,1,0,"Pelodictyon phaeoclathratiforme BU-1"
"326298",0,1,1,1,"Sulfurimonas denitrificans DSM 1251"
"326427",1,0,0,0,"Chloroflexus aggregans DSM 9485"
"329726",0,1,1,0,"Acaryochloris marina MBIC11017"
"329854",1,1,1,0,"Bacteroides intestinalis"
"330734",0,0,1,0,"Marinobacter psychrophilus"
"330922",0,0,1,0,"Psychrobacter cryohalolentis"
"331678",0,1,1,0,"Chlorobium phaeobacteroides BS1"
"332411",0,0,1,0,"Aquitalea magnusonii"
"332999",1,0,1,1,"Pedobacter suwonensis"
"333962",1,0,0,0,"Providencia heimbachae"
"334413",0,0,1,1,"Finegoldia magna ATCC 29328"
